       THR22_0581_S01  TH03_0003_S04  THR09_0223_S01  THR20_0495_S01  \
0            0.000000       0.000000        0.000000        0.225919   
1            0.000000       0.000000        0.000000        0.000000   
2            0.000000       0.000000        0.000000        0.000000   
3            4.045268       5.730912        4.260778        4.921246   
4            3.407353       2.799087        2.339137        2.604071   
5            0.014355       0.028569        0.000000        0.042644   
6            5.579542       6.736875        4.282440        5.326250   
7            1.500802       1.974529        0.298658        0.201634   
8            0.000000       0.321928        0.000000        0.014355   
9            0.000000       0.000000        0.000000        0.000000   
10           0.000000       0.000000        0.000000        0.000000   
11           0.310340       0.000000        0.084064        0.000000   
12           0.000000       0.028569        0.000000        0.028569   
13           3.725741       3.516015        4.045268        0.773996   
14           0.214125       0.028569        0.014355        0.070389   
15           0.000000       0.000000        0.000000        0.000000   
16           4.403949       4.864929        4.309613        5.543496   
17           1.925999       3.221877        3.276497        4.669594   
18           0.000000       0.000000        0.000000        0.042644   
19           0.000000       0.000000        0.695994        0.000000   
20           0.000000       0.000000        0.014355        0.000000   
21           0.000000       0.000000        0.000000        0.000000   
22           0.000000       0.000000        0.000000        0.000000   
23           0.000000       0.000000        0.000000        0.000000   
24           0.137504       0.070389        0.028569        0.014355   
25           0.189034       2.372952        0.150560        4.538538   
26           2.797013       4.491212        1.250962        1.989139   
27           4.692092       5.124328        4.697663        4.185074   
28           3.482848       3.025029        0.823749        3.375735   
29           2.283922       4.807870        2.121015        4.071248   
...               ...            ...             ...             ...   
58551        0.000000       0.000000        0.000000        0.000000   
58552        0.000000       0.000000        0.000000        0.000000   
58553        0.000000       0.150560        0.000000        0.000000   
58554        0.000000       0.000000        0.000000        0.000000   
58555        0.000000       0.084064        0.000000        0.000000   
58556        0.000000       0.000000        0.000000        0.000000   
58557        0.226509       0.863938        0.163499        0.070389   
58558        0.000000       0.056584        0.000000        0.028569   
58559        0.150560       0.084064        0.097611        0.286881   
58560        0.056584       0.084064        0.000000        0.000000   
58561        0.000000       0.000000        0.000000        0.000000   
58562        0.000000       0.000000        0.000000        0.000000   
58563        0.000000       0.000000        0.000000        0.000000   
58564        2.367371       4.603478        2.761285        3.672425   
58565        0.000000       0.000000        0.000000        0.000000   
58566        0.000000       0.000000        0.000000        0.000000   
58567        0.000000       0.000000        0.000000        0.000000   
58568        0.000000       0.000000        0.000000        0.200856   
58569        0.000000       0.000000        0.000000        0.000000   
58570        0.000000       0.000000        0.000000        0.000000   
58571        0.000000       0.000000        0.000000        0.000000   
58572        0.000000       0.000000        0.000000        0.000000   
58573        0.000000       0.000000        0.000000        0.000000   
58574        0.000000       0.000000        0.000000        0.000000   
58575        0.000000       0.000000        0.000000        0.000000   
58576        0.000000       0.000000        0.000000        0.000000   
58577        0.000000       0.000000        0.000000        0.000000   
58578        0.000000       0.000000        0.000000        0.000000   
58579        0.251560       0.041802        0.038995        0.130641   
58580        0.000000       0.000000        0.000000        0.097611   

       THR21_0538_S01  THR14_0316_S01  THR08_0205_S01  TH03_0003_S01  \
0            0.000000        0.000000        0.000000       0.000000   
1            0.000000        0.000000        0.000000       0.000000   
2            0.339176        0.000000        0.000000       0.000000   
3            2.147307        5.178715        3.704872       5.454834   
4            1.664483        2.488001        4.514122       2.906891   
5            0.028569        0.000000        0.000000       0.028569   
6            4.899176        8.436836        0.263034       5.910493   
7            0.333424        2.304511        0.000000       0.731183   
8            1.035624        2.007196        0.000000       0.000000   
9            0.000000        0.000000        0.000000       0.000000   
10           0.000000        0.000000        0.000000       0.000000   
11           0.028569        0.084064        0.000000       0.000000   
12           0.056584        0.000000        0.000000       0.150560   
13           0.201634        2.292782        0.000000       2.358959   
14           0.014355        0.070389        0.000000       0.000000   
15           0.000000        0.000000        0.000000       0.000000   
16           3.592158        5.095924        6.228434       5.428276   
17           1.655352        2.283922        4.403949       3.724650   
18           0.014355        0.000000        0.000000       0.056584   
19           0.000000        0.000000        0.000000       0.150560   
20           0.000000        0.000000        0.000000       0.000000   
21           0.000000        0.000000        0.000000       0.000000   
22           0.000000        0.000000        0.000000       0.000000   
23           0.000000        0.000000        0.000000       0.000000   
24           0.042644        0.632268        0.000000       0.042644   
25           1.117695        3.215679        0.000000       2.495695   
26           1.687061        3.168321        4.361066       3.039138   
27           3.568032        4.556429        5.513175       4.668460   
28           1.910733        3.053111        6.497772       2.599318   
29           2.495695        5.475409        3.687061       5.621466   
...               ...             ...             ...            ...   
58551        0.000000        0.000000        0.000000       0.000000   
58552        0.000000        0.000000        0.000000       0.000000   
58553        0.000000        0.000000        0.000000       0.000000   
58554        0.000000        0.000000        0.000000       0.000000   
58555        0.000000        0.000000        0.000000       0.176323   
58556        0.000000        0.000000        0.000000       0.000000   
58557        0.042644        0.000000        0.000000       0.356144   
58558        0.150560        0.000000        0.000000       0.000000   
58559        0.956057        0.028569        0.000000       0.056584   
58560        0.042644        0.000000        0.000000       0.000000   
58561        0.000000        0.000000        0.000000       0.000000   
58562        0.000000        0.000000        0.000000       0.000000   
58563        0.000000        0.000000        0.000000       0.000000   
58564        3.065228        4.218006        6.270529       3.361768   
58565        0.000000        0.000000        0.000000       0.000000   
58566        0.000000        0.000000        0.000000       0.000000   
58567        0.000000        0.000000        0.000000       0.000000   
58568        0.069347        0.000000        0.000000       0.000000   
58569        0.000000        0.000000        0.000000       0.000000   
58570        0.000000        0.000000        0.000000       0.000000   
58571        0.000000        0.000000        0.000000       0.000000   
58572        0.000000        0.000000        0.000000       0.000000   
58573        0.000000        0.000000        0.000000       0.000000   
58574        0.000000        0.000000        0.000000       0.000000   
58575        0.000000        0.000000        0.000000       0.000000   
58576        0.000000        0.000000        0.000000       0.000000   
58577        0.000000        0.000000        0.000000       0.000000   
58578        0.000000        0.000000        0.000000       0.000000   
58579        0.357014        0.083799        0.420977       0.121974   
58580        0.176323        0.000000        0.000000       0.124328   

       THR09_0566_S01  THR11_0274_S01       ...        THR14_0318_S01  \
0            0.000000        0.000000       ...              0.000000   
1            0.000000        0.000000       ...              0.000000   
2            0.037010        0.000000       ...              0.000000   
3            3.507160        2.211012       ...              4.949535   
4            3.404631        0.536053       ...              1.899176   
5            0.000000        0.097611       ...              0.014355   
6            4.131754        7.204962       ...              5.482203   
7            0.978196        0.400538       ...              0.604071   
8            0.014355        2.462052       ...              0.622930   
9            0.000000        0.000000       ...              0.000000   
10           0.000000        0.000000       ...              0.000000   
11           0.070389        0.000000       ...              0.042644   
12           0.000000        0.111031       ...              0.084064   
13           4.848998        2.028569       ...              1.339137   
14           0.014355        0.189034       ...              0.028569   
15           0.000000        0.000000       ...              0.000000   
16           4.482203        4.716991       ...              4.710944   
17           3.739848        3.955127       ...              2.829850   
18           0.000000        0.014355       ...              0.070389   
19           0.000000        0.933573       ...              0.000000   
20           0.000000        0.042644       ...              0.000000   
21           0.000000        0.000000       ...              0.000000   
22           0.000000        0.000000       ...              0.000000   
23           0.070389        0.000000       ...              0.000000   
24           0.111031        0.000000       ...              0.042644   
25           0.333424        3.446256       ...              3.477677   
26           3.012569        2.925999       ...              4.836429   
27           4.635174        5.305241       ...              4.604664   
28           3.016140        6.298658       ...              2.881665   
29           2.189034        3.663345       ...              5.504938   
...               ...             ...       ...                   ...   
58551        0.000000        0.000000       ...              0.000000   
58552        0.000000        0.000000       ...              0.000000   
58553        0.000000        0.097611       ...              0.000000   
58554        0.000000        0.000000       ...              0.000000   
58555        0.000000        0.097611       ...              0.000000   
58556        0.000000        0.000000       ...              0.000000   
58557        0.411426        0.000000       ...              0.000000   
58558        0.028569        0.000000       ...              0.070389   
58559        0.263034        3.157044       ...              0.201634   
58560        0.000000        0.000000       ...              0.201634   
58561        0.000000        0.000000       ...              0.000000   
58562        0.000000        0.000000       ...              0.000000   
58563        0.000000        0.000000       ...              0.000000   
58564        3.526069        3.791814       ...              4.184280   
58565        0.000000        0.000000       ...              0.000000   
58566        0.000000        0.000000       ...              0.000000   
58567        0.000000        0.000000       ...              0.000000   
58568        0.000000        0.000000       ...              0.000000   
58569        0.000000        0.141204       ...              0.000000   
58570        0.000000        0.000000       ...              0.000000   
58571        0.000000        0.000000       ...              0.000000   
58572        0.000000        0.000000       ...              0.000000   
58573        0.000000        0.000000       ...              0.000000   
58574        0.000000        0.000000       ...              0.000000   
58575        0.000000        0.000000       ...              0.000000   
58576        0.000000        0.000000       ...              0.000000   
58577        0.000000        0.000000       ...              0.000000   
58578        0.000000        0.000000       ...              0.000000   
58579        0.135747        0.204580       ...              0.155588   
58580        0.000000        0.641546       ...              0.000000   

       THR08_0209_S01  THR08_0162_S02  THR20_0494_S01  THR15_0361_S01  \
0            0.353011        0.358216        0.157093        0.000000   
1            0.000000        0.000000        0.000000        0.000000   
2            0.194988        0.000000        0.029387        0.000000   
3            3.554589        4.337711        4.875289        4.726831   
4            4.438958        4.955592        2.448901        2.060047   
5            0.014355        0.000000        0.028569        0.000000   
6            1.056584        0.839960        5.560409        8.438418   
7            2.010780        0.815575        1.700440        0.475085   
8            0.189034        0.344828        0.275007        0.000000   
9            0.000000        0.000000        0.070389        0.000000   
10           0.000000        0.000000        0.000000        0.000000   
11           0.000000        0.356144        0.084064        0.084064   
12           0.097611        0.124328        0.028569        0.000000   
13           0.389567        0.056584        1.555816        2.137504   
14           0.000000        0.000000        0.000000        0.150560   
15           0.000000        0.000000        0.097611        0.000000   
16           6.276869        5.976822        5.630231        4.667892   
17           4.165912        4.059182        4.182692        3.558268   
18           0.150560        0.000000        0.097611        0.000000   
19           0.000000        0.000000        0.000000        0.000000   
20           0.014355        0.000000        0.000000        0.000000   
21           0.000000        0.000000        0.000000        0.000000   
22           0.000000        0.028569        0.028569        0.000000   
23           0.000000        0.000000        0.014355        0.000000   
24           0.000000        0.000000        0.000000        0.516015   
25           0.000000        0.000000        3.463361        4.169123   
26           0.839960        3.940167        2.077243        3.350497   
27           5.442280        5.336640        4.372256        4.489928   
28           6.155628        6.781884        4.186659        3.629939   
29           3.241840        3.755956        5.148527        5.520108   
...               ...             ...             ...             ...   
58551        0.000000        0.000000        0.000000        0.000000   
58552        0.000000        0.000000        0.722466        0.000000   
58553        0.000000        0.000000        0.189034        0.000000   
58554        0.000000        0.000000        0.000000        0.000000   
58555        0.000000        0.000000        0.275007        0.000000   
58556        0.000000        0.000000        0.389567        0.000000   
58557        0.000000        0.000000        0.799087        1.049631   
58558        0.000000        0.000000        0.028569        0.000000   
58559        0.000000        1.811471        0.238787        0.464668   
58560        0.000000        0.000000        0.000000        0.000000   
58561        0.000000        0.000000        0.000000        0.000000   
58562        0.000000        0.000000        0.000000        0.000000   
58563        0.000000        0.000000        0.561349        0.000000   
58564        0.084064        5.312883        3.887525        3.710393   
58565        0.000000        0.000000        0.000000        0.000000   
58566        0.000000        0.000000        0.000000        0.000000   
58567        0.000000        0.000000        0.000000        0.000000   
58568        0.000000        0.000000        0.052482        0.000000   
58569        0.000000        0.000000        0.058612        0.000000   
58570        0.000000        0.000000        0.000000        0.000000   
58571        0.000000        0.000000        0.000000        0.000000   
58572        0.000000        0.000000        0.000000        0.000000   
58573        0.000000        0.000000        0.000000        0.000000   
58574        0.000000        0.000000        0.000000        0.000000   
58575        0.000000        0.000000        0.000000        0.000000   
58576        0.000000        0.000000        0.000000        0.000000   
58577        0.000000        0.000000        0.000000        0.000000   
58578        0.000000        0.000000        0.000000        0.000000   
58579        0.538415        0.561268        0.354334        0.000000   
58580        0.000000        0.000000        0.056584        0.000000   

       TH01_0131_S01  THR14_0308_S01  THR19_0435_S01  THR19_0443_S01  \
0           0.106000        0.000000        0.000000        0.000000   
1           0.000000        0.000000        0.000000        0.000000   
2           0.170602        0.079181        0.160524        0.051723   
3           4.414136        5.176722        0.941106        3.974529   
4           3.042644        3.314697        0.536053        1.782409   
5           0.000000        0.070389        0.014355        0.000000   
6           1.007196        8.917879        4.332708        8.858541   
7           1.384050        3.139142        0.298658        1.014355   
8           0.028569        0.536053        0.042644        0.887525   
9           0.000000        0.000000        0.000000        0.000000   
10          0.000000        0.000000        0.000000        0.000000   
11          0.137504        0.097611        0.042644        0.097611   
12          0.056584        0.214125        0.000000        0.238787   
13          0.505891        2.493135        0.632268        4.636335   
14          0.014355        0.150560        0.014355        0.028569   
15          0.000000        0.000000        0.000000        0.000000   
16          3.999098        5.607626        1.599318        4.927896   
17          2.073820        3.854993        0.731183        3.174726   
18          0.014355        0.000000        0.000000        0.000000   
19          0.000000        0.028569        0.000000        0.111031   
20          0.000000        0.000000        0.000000        0.000000   
21          0.000000        0.000000        0.000000        0.000000   
22          0.000000        0.000000        0.000000        0.000000   
23          0.000000        0.000000        0.000000        0.000000   
24          0.000000        0.333424        0.000000        0.189034   
25          0.042644        3.690417        0.757023        2.405992   
26          0.400538        3.203201        0.748461        2.829850   
27          3.320485        4.537917        1.521051        4.338424   
28          5.289097        4.173127        1.992768        5.474436   
29          2.720278        5.545968        1.891419        5.874797   
...              ...             ...             ...             ...   
58551       0.000000        0.000000        0.000000        0.000000   
58552       0.000000        0.000000        0.000000        0.000000   
58553       0.000000        0.000000        0.000000        0.000000   
58554       0.000000        0.000000        0.000000        0.000000   
58555       0.084064        0.000000        0.000000        0.956057   
58556       0.000000        0.687061        0.000000        0.000000   
58557       0.201634        0.000000        0.028569        0.000000   
58558       0.214125        0.070389        0.000000        0.056584   
58559       1.627607        0.137504        0.000000        0.389567   
58560       0.056584        0.000000        0.000000        0.000000   
58561       0.000000        0.000000        0.000000        0.000000   
58562       0.000000        0.000000        0.000000        0.000000   
58563       0.000000        0.000000        0.000000        0.000000   
58564       0.321928        4.736064        0.933573        3.737687   
58565       0.000000        0.000000        0.000000        0.000000   
58566       0.000000        0.000000        0.000000        0.000000   
58567       0.000000        0.000000        0.000000        0.000000   
58568       0.000000        0.000000        0.000000        0.294786   
58569       0.117871        0.000000        0.000000        0.118462   
58570       0.000000        0.000000        0.000000        0.000000   
58571       0.000000        0.000000        0.000000        0.000000   
58572       0.000000        0.000000        0.000000        0.000000   
58573       0.000000        0.000000        0.000000        0.000000   
58574       0.000000        0.000000        0.000000        0.000000   
58575       0.000000        0.000000        0.000000        0.000000   
58576       0.000000        0.000000        0.000000        0.000000   
58577       0.000000        0.000000        0.000000        0.000000   
58578       0.000000        0.000000        0.000000        0.000000   
58579       0.374212        0.168669        0.090597        0.073762   
58580       0.000000        0.000000        0.042644        0.000000   

       THR19_0423_S01  
0            0.137012  
1            0.000000  
2            0.055542  
3            1.070389  
4            0.356144  
5            0.000000  
6            5.526695  
7            0.321928  
8            0.097611  
9            0.000000  
10           0.000000  
11           0.000000  
12           0.000000  
13           0.903038  
14           0.014355  
15           0.000000  
16           1.475085  
17           0.790772  
18           0.000000  
19           0.000000  
20           0.000000  
21           0.000000  
22           0.000000  
23           0.000000  
24           0.014355  
25           0.454176  
26           1.201634  
27           1.827819  
28           1.899176  
29           1.992768  
...               ...  
58551        0.000000  
58552        0.000000  
58553        0.000000  
58554        0.000000  
58555        0.028569  
58556        0.000000  
58557        0.250962  
58558        0.014355  
58559        0.389567  
58560        0.000000  
58561        0.000000  
58562        0.000000  
58563        0.000000  
58564        1.422233  
58565        0.000000  
58566        0.000000  
58567        0.000000  
58568        0.000000  
58569        0.000000  
58570        0.000000  
58571        0.000000  
58572        0.000000  
58573        0.000000  
58574        0.000000  
58575        0.000000  
58576        0.000000  
58577        0.000000  
58578        0.000000  
58579        0.101593  
58580        0.014355  

[58581 rows x 21 columns]
THR22_0581_S01	PolyA
TH03_0003_S04	PolyA
THR09_0223_S01	PolyA
THR20_0495_S01	PolyA
THR21_0538_S01	RiboD
THR14_0316_S01	PolyA
THR08_0205_S01	PolyA
TH03_0003_S01	PolyA
